reg,X,Y,Lon,Lat,clase,band1,band2,band3,band4,band5,band6
4,711.5,827.5,-61.78462755,-37.72203438,1,203,447,336,3093,1187,668
4,710.5,809.5,-61.78504737,-37.71717179,1,181,417,239,3487,1160,531
5,718.5,816.5,-61.78229387,-37.71903607,1,155,406,251,3455,1043,500
5,713.5,830.5,-61.78393361,-37.72283838,1,190,435,325,3061,1207,672
6,712.5,830.5,-61.78427395,-37.72284189,1,226,483,383,3074,1350,815
6,716.5,814.5,-61.78298336,-37.71850242,1,198,501,269,4372,1435,650
7,711.5,830.5,-61.7846143,-37.7228454,1,199,468,349,3163,1263,716
7,715.5,813.5,-61.78332811,-37.71823559,1,204,539,255,5161,1469,644
8,714.5,812.5,-61.78367285,-37.71796877,1,230,517,343,3965,1438,737
9,719.5,817.5,-61.78194912,-37.71930289,1,143,397,242,3498,1002,487
15,720.5,801.5,-61.78167964,-37.71497395,1,253,499,380,3011,1479,823
16,721.5,801.5,-61.78133933,-37.71497044,1,261,511,401,2925,1518,867
17,703.5,822.5,-61.7873723,-37.72071073,1,185,436,318,3423,1120,603
17,721.5,800.5,-61.78134376,-37.7147001,1,289,525,434,2802,1578,950
18,703.5,824.5,-61.78736348,-37.7212514,1,207,445,348,3208,1217,703
18,722.5,800.5,-61.78100345,-37.71469658,1,281,521,420,2878,1564,914
19,723.5,801.5,-61.78065872,-37.7149634,1,277,514,410,2905,1515,889
20,722.5,801.5,-61.78099902,-37.71496692,1,274,520,413,2882,1546,896
21,724.5,808.5,-61.78028739,-37.71685225,1,251,458,347,3287,1377,761
22,723.5,807.5,-61.78063213,-37.71658543,1,259,504,380,2981,1506,820
28,729.5,807.5,-61.77859026,-37.71656429,1,299,525,456,2717,1602,991
29,724.5,824.5,-61.78021646,-37.72117766,1,204,457,344,3307,1188,699
29,726.5,804.5,-61.7796245,-37.71576385,1,297,541,453,2689,1657,987
30,749.5,838.5,-61.77164562,-37.72487404,1,163,395,268,3440,1044,524
30,722.5,794.5,-61.78103003,-37.71307455,1,264,495,379,2979,1482,830
31,750.5,839.5,-61.7713008,-37.72514083,1,152,385,241,3505,1018,489
32,720.5,794.5,-61.78171062,-37.71308158,1,280,511,413,2885,1531,897
32,750.5,838.5,-61.77130527,-37.72487049,1,144,393,239,3548,1008,482
33,720.5,795.5,-61.7817062,-37.71335192,1,267,498,389,3029,1477,841
33,751.5,839.5,-61.77096045,-37.72513728,1,146,386,234,3560,1002,473
39,756.5,843.5,-61.7692408,-37.72620087,1,146,362,219,3612,996,467
40,757.5,842.5,-61.76890492,-37.72592698,1,150,372,238,3558,1040,505
40,715.5,798.5,-61.78339443,-37.71418051,1,230,469,323,3387,1373,704
41,757.5,841.5,-61.7689094,-37.72565664,1,159,372,257,3365,1019,516
42,725.5,803.5,-61.77996924,-37.71549703,1,281,527,431,2792,1579,923
42,758.5,841.5,-61.76856904,-37.72565309,1,165,386,261,3552,1058,550
43,759.5,841.5,-61.76822869,-37.72564953,1,141,353,205,3729,957,464
44,724.5,802.5,-61.78031398,-37.71523022,1,284,517,419,2809,1548,899
44,760.5,843.5,-61.76787938,-37.72618665,1,154,360,226,3555,1014,483
45,821.5,901.5,-61.74685355,-37.7416472,1,203,435,307,3225,1269,644
52,816.5,901.5,-61.74855567,-37.74166528,1,199,439,307,3400,1277,653
52,728.5,804.5,-61.77894388,-37.7157568,1,302,524,454,2709,1644,1015
53,828.5,904.5,-61.74445689,-37.74243284,1,184,427,293,3228,1243,626
54,829.5,904.5,-61.74411646,-37.74242921,1,190,428,301,3248,1229,632
55,828.5,902.5,-61.74446602,-37.74189217,1,209,469,341,3103,1326,703
55,722.5,802.5,-61.78099459,-37.71523726,1,271,504,398,2918,1503,855
56,726.5,797.5,-61.77965554,-37.71387148,1,272,488,393,2922,1512,880
56,827.5,901.5,-61.74481101,-37.74162546,1,198,449,313,3214,1264,644
57,820.5,905.5,-61.74717575,-37.74273215,1,195,434,298,3262,1252,623
58,822.5,905.5,-61.74649489,-37.74272491,1,193,420,295,3245,1240,628
64,826.5,929.5,-61.74502361,-37.74919843,1,200,444,220,4630,1457,656
65,808.5,945.5,-61.75107915,-37.75358887,1,196,565,327,4253,1410,662
65,826.5,930.5,-61.74501904,-37.74946876,1,208,449,234,4322,1421,663
66,825.5,930.5,-61.7453595,-37.74947239,1,211,447,229,4468,1457,670
67,823.5,930.5,-61.74604042,-37.74947963,1,210,438,226,4414,1433,656
67,806.5,945.5,-61.7517601,-37.75359609,1,230,609,461,3708,1523,803
68,823.5,930.5,-61.74604042,-37.74947963,1,210,438,226,4414,1433,656
69,823.5,929.5,-61.74604498,-37.7492093,1,199,437,223,4449,1406,640
69,804.5,944.5,-61.7524456,-37.75333297,1,211,486,254,4384,1223,576
70,822.5,929.5,-61.74638544,-37.74921292,1,201,457,230,4417,1284,589
76,816.5,943.5,-61.74836443,-37.75301931,1,208,463,262,4086,1368,659
76,823.5,935.5,-61.74601761,-37.7508313,1,219,450,257,4134,1490,726
77,831.5,921.5,-61.7433579,-37.74701762,1,191,410,243,3849,1210,560
78,832.5,922.5,-61.74301288,-37.74728432,1,209,434,277,3571,1264,612
78,812.5,937.5,-61.74975363,-37.75141176,1,221,512,263,4404,1233,579
79,813.5,937.5,-61.74941316,-37.75140815,1,216,474,256,4098,1305,631
79,833.5,923.5,-61.74266785,-37.74755103,1,214,451,292,3420,1307,644
80,833.5,924.5,-61.74266328,-37.74782136,1,214,455,294,3408,1304,636
80,814.5,937.5,-61.74907269,-37.75140454,1,199,431,234,4121,1308,608
81,831.5,924.5,-61.74334418,-37.74782862,1,256,478,370,3262,1446,823
86,828.5,921.5,-61.74437924,-37.74702851,1,217,457,287,3563,1317,651
87,818.5,936.5,-61.74771538,-37.75111974,1,204,418,246,3848,1339,655
87,827.5,920.5,-61.74472425,-37.7467618,1,209,467,306,3427,1383,696
88,827.5,919.5,-61.74472882,-37.74649147,1,232,486,343,3193,1454,756
88,815.5,934.5,-61.74874588,-37.75058992,1,213,490,251,4400,1198,552
89,828.5,919.5,-61.74438838,-37.74648784,1,246,503,360,3187,1507,794
90,821.5,885.5,-61.74692647,-37.73732185,1,200,441,326,3350,1272,666
90,836.5,928.5,-61.74162361,-37.74889179,1,249,448,353,3346,1360,831
91,836.5,929.5,-61.74161903,-37.74916212,1,197,420,271,3607,1263,616
92,837.5,929.5,-61.74127858,-37.74915849,1,205,434,286,3459,1329,645
99,846.5,953.5,-61.73810427,-37.7556137,1,191,481,361,2802,1248,693
99,837.5,885.5,-61.74148002,-37.73726382,1,215,470,361,3105,1356,727
100,843.5,953.5,-61.73912573,-37.75562464,1,211,490,387,2733,1316,756
100,839.5,884.5,-61.7408038,-37.73698621,1,216,482,351,3230,1365,717
101,849.5,953.5,-61.73708281,-37.75560276,1,205,497,369,2861,1259,705
102,849.5,954.5,-61.73707821,-37.75587309,1,199,495,369,2918,1239,699
103,841.5,887.5,-61.74010925,-37.73778994,1,230,494,379,3041,1406,776
103,850.5,955.5,-61.73673313,-37.75613978,1,198,496,359,2922,1232,680
104,849.5,955.5,-61.73707362,-37.75614343,1,171,473,303,3114,1145,597
104,840.5,888.5,-61.74044508,-37.73806391,1,219,496,374,3058,1417,758
111,877.5,991.5,-61.72737322,-37.76577279,1,197,449,314,3208,1258,644
112,878.5,990.5,-61.72703732,-37.76549878,1,189,446,304,3173,1248,633
112,814.5,881.5,-61.74932749,-37.73626582,1,242,521,378,3325,1504,801
113,815.5,881.5,-61.74898709,-37.73626221,1,210,467,345,3284,1393,731
113,879.5,990.5,-61.72669679,-37.7654951,1,179,437,286,3388,1209,599
114,880.5,991.5,-61.72635162,-37.76576175,1,243,491,399,3085,1430,872
115,881.5,991.5,-61.72601109,-37.76575807,1,224,433,344,2763,1269,729
116,881.5,990.5,-61.72601573,-37.76548774,1,239,474,365,2963,1400,799
116,820.5,890.5,-61.7472441,-37.73867714,1,178,429,275,3667,1227,591
117,881.5,989.5,-61.72602037,-37.7652174,1,238,482,370,3154,1379,798
123,882.5,993.5,-61.72566128,-37.76629505,1,206,439,330,3013,1276,687
124,849.5,902.5,-61.73731713,-37.74181579,1,233,465,326,3355,1394,706
124,881.5,993.5,-61.72600182,-37.76629873,1,212,444,351,2794,1315,743
125,880.5,993.5,-61.72634235,-37.76630241,1,196,459,315,3268,1265,654
126,910.5,1005.5,-61.71607028,-37.76943549,1,196,446,253,3504,1214,576
127,911.5,1006.5,-61.71572505,-37.76970211,1,187,421,243,3598,1163,560
128,911.5,1005.5,-61.71572973,-37.76943178,1,196,447,262,3276,1227,595
129,856.5,905.5,-61.73492037,-37.74260124,1,216,447,298,3591,1352,660
129,912.5,1006.5,-61.71538451,-37.7696984,1,193,431,256,3394,1214,586
130,915.5,1010.5,-61.71434414,-37.77076857,1,208,434,278,3325,1229,626
136,921.5,1015.5,-61.71227738,-37.7720979,1,203,434,272,3411,1200,597
137,920.5,1015.5,-61.71261794,-37.77210163,1,192,426,253,3551,1177,567
138,920.5,1014.5,-61.71262263,-37.7718313,1,192,427,240,3585,1176,545
139,852.5,909.5,-61.73626368,-37.74369718,1,196,415,252,3933,1259,570
139,922.5,1013.5,-61.7119462,-37.77155352,1,194,428,251,3636,1153,550
140,851.5,909.5,-61.73660411,-37.74370083,1,194,424,268,3797,1298,610
140,922.5,1014.5,-61.71194151,-37.77182385,1,198,445,258,3489,1209,573
141,975.5,1086.5,-61.69354949,-37.79108867,1,219,577,380,3558,1478,759
142,852.5,908.5,-61.73626828,-37.74342684,1,195,413,245,3931,1252,577
142,976.5,1087.5,-61.69320408,-37.79135521,1,212,586,384,3595,1456,748
148,844.5,907.5,-61.73899631,-37.74318568,1,255,483,380,3330,1475,817
149,976.5,1090.5,-61.6931898,-37.79216619,1,231,595,426,3340,1474,781
150,977.5,1090.5,-61.69284915,-37.79216241,1,228,572,360,3616,1416,721
151,972.5,1091.5,-61.69454763,-37.79245163,1,260,620,511,3016,1621,944
151,856.5,928.5,-61.73481451,-37.74881889,1,175,437,237,3902,1151,521
152,974.5,1091.5,-61.69386633,-37.79244407,1,259,620,512,2914,1606,925
152,856.5,929.5,-61.73480991,-37.74908922,1,188,447,246,3775,1172,537
153,974.5,1091.5,-61.69386633,-37.79244407,1,259,620,512,2914,1606,925
153,855.5,929.5,-61.73515036,-37.74909287,1,180,437,232,3909,1158,523
